epoch,train_loss,val_top1,val_top3,val_top5,val_mrr,val_coverage,val_ppl,val_mean_ce
1,3.019331,0.404400,0.638800,0.717200,0.551169,5.395600,8.742536,2.168200
2,2.095685,0.516400,0.714800,0.800800,0.641319,4.116000,5.700668,1.740583
3,1.827279,0.562800,0.745200,0.824400,0.676995,3.789600,4.932124,1.595770
4,1.672294,0.569600,0.750400,0.825200,0.683396,3.741600,4.685176,1.544404
5,1.562555,0.588400,0.765200,0.826000,0.696506,3.680800,4.526716,1.509997
6,1.476296,0.595600,0.766400,0.829200,0.702800,3.632000,4.419038,1.485922
7,1.403154,0.596400,0.768400,0.835200,0.704488,3.704000,4.491182,1.502116
8,1.330729,0.596000,0.769600,0.834800,0.703684,3.783200,4.484308,1.500584
9,1.273551,0.608800,0.775600,0.828400,0.710353,3.806400,4.473807,1.498240
10,1.220661,0.608800,0.764400,0.829200,0.708212,3.930000,4.613832,1.529059
11,1.165148,0.612800,0.767600,0.826400,0.710080,3.874400,4.612794,1.528834
12,1.122281,0.618400,0.770800,0.829600,0.713913,3.989600,4.672349,1.541662
13,1.078182,0.616800,0.772000,0.824000,0.712165,4.128000,4.845714,1.578095
14,1.037808,0.602400,0.770000,0.831600,0.705915,4.093600,4.943251,1.598023
15,1.004547,0.598000,0.766800,0.828400,0.702935,4.174000,5.056931,1.620760
16,0.977956,0.607200,0.768400,0.822400,0.705845,4.434000,5.262601,1.660625
17,0.953153,0.607600,0.763200,0.821200,0.704985,4.381200,5.245055,1.657286
18,0.924722,0.616000,0.757600,0.815200,0.708831,4.451200,5.342461,1.675686
19,0.903433,0.599200,0.759600,0.814000,0.697496,4.716800,5.655652,1.732655
20,0.883900,0.601600,0.760800,0.805200,0.697881,4.768800,5.781661,1.754691
